gene_name,ingredient_name
GLIPR1L1,Salicylic acid
CASP3,Salicylic acid
GLIPR1L2,Salicylic acid
CES2,Salicylic acid
YME1L1,Salicylic acid
PCBP4,Salicylic acid
CLEC18C,Salicylic acid
ACSM2B,Salicylic acid
LEPR,Salicylic acid
HIF1A,Salicylic acid
CRISP1,Salicylic acid
CRISP2,Salicylic acid
GLYAT,Salicylic acid
CLEC18B,Salicylic acid
SLC26A9,Salicylic acid
CHIA,Salicylic acid
CTSB,Salicylic acid
PRMT7,Salicylic acid
UGT1A10,Salicylic acid
SLC26A3,Salicylic acid
SLC26A8,Salicylic acid
ZNF346,Salicylic acid
PCBP2,Salicylic acid
CES1,Salicylic acid
PTGS1,Salicylic acid
SLC26A1,Salicylic acid
SLC26A11,Salicylic acid
PARP1,Salicylic acid
CHIT1,Salicylic acid
PTGS2,Salicylic acid
ATF6,Salicylic acid
NPR1,Salicylic acid
NFKB2,Salicylic acid
SLC22A7,Salicylic acid
UGT1A7,Salicylic acid
UGT1A8,Salicylic acid
PI16,Salicylic acid
GSN,Salicylic acid
TRIM63,Salicylic acid
AOX1,Salicylic acid
SLC22A12,Salicylic acid
SLC22A6,Salicylic acid
GLIPR2,Salicylic acid
NDUFAF5,Salicylic acid
XDH,Salicylic acid
RPS6KA3,Salicylic acid
ALOX15B,Salicylic acid
IFNB1,Salicylic acid
AKR1C3,Salicylic acid
AKR1C2,Salicylic acid
AKR1C1,Salicylic acid
FECH,Salicylic acid
TRIM71,Salicylic acid
ALKBH8,Salicylic acid
SLC26A6,Salicylic acid
PCBP3,Salicylic acid
CRISP3,Salicylic acid
BAHD1,Salicylic acid
MAVS,Salicylic acid
IL10,Salicylic acid
UGT1A3,Salicylic acid
CES5A,Salicylic acid
IKBKB,Salicylic acid
HSF1,Salicylic acid
TRMT9B,Salicylic acid
CES4A,Salicylic acid
TDO2,Salicylic acid
ANTKMT,Salicylic acid
RAD51D,Salicylic acid
ISOC2,"2,3-DIHYDROXYBENZOATE"
